id	Objeto	Tipo	Color	Uso	Recuerdo 	Propietario	Origen	Lugar	Anno	Conexion	Extension	 
145	Rubor	Maquillaje	Rosado	Diario		Cristina	Compra	Éxito	2019	No	Si
146	Base	Maquillaje	Beige	Diario		Cristina	Compra	Éxito	2019	No	Si
147	Rubor dorado	Maquillaje	Ocre	Diario		Cristina	Compra	Éxito	2019	No	Si
148	Lapiz ojos nuevo	Maquillaje	Negro	Diario		Cristina	Compra	Éxito	2019	No	Si
149	Lapiz ojos viejo	Maquillaje	Negro	Diario		Cristina	Compra	Éxito	2018	No	Si
150	Cuchilla 	Maquillaje	Rojo	2 o más días		Cristina	Compra	Barrio	2018	No	Si
151	Desodorante 	Aseo	Morado eléctrico	Diario		Cristina	Compra	Barrio	2018	No	Si
152	Labial vinotinto	Maquillaje	Vinotinto	Poco frecuente		Cristina	Compra	No recuerdo	2017	No	Si
153	Labial rosa	Maquillaje	Rosado	Poco frecuente		Cristina	Compra	Falabella	2017	No	Si
154	Labial rojo	Maquillaje	Rojo	Poco frecuente		Cristina	Compra	Compañera	2018	No	Si
155	Labial dorado	Maquillaje	Ocre	3 o más días		Cristina	Compra	Compañera	2018	No	Si
156	Labial rosa claro	Maquillaje	Rosado	3 o más días		Cristina	Compra	Falabella	2017	No	Si
157	Pincel sombras	Maquillaje	Café oscuro	Muy poco frecuente		Cristina	Compra	No recuerdo	s/f	No	Si
158	Pincel cejas	Maquillaje	Café	Diario		Cristina	Compra	No recuerdo	s/f	No	Si
159	Brocha rubor	Maquillaje	Rosado	Diario		Cristina	Compra	No recuerdo	s/f	No	Si
160	Brillo	Maquillaje	Rosa palido	Diario		Cristina	Compra	Bogotá	2019	No	Si
161	Esmalte rojo mate	Maquillaje	Rojo	Poco frecuente		Cristina	Compra	Éxito	2018	No	Si
162	Esmalte rojo	Maquillaje	Rojo	Poco frecuente		Cristina	Compra	Bogotá	2019	No	Si
163	Crema aguacate	Maquillaje	Blanco	Diario		Ambos	Compra	Compañera	2019	No	Si
164	Bolso verde	Guarda-cosas	Verde claro	Muy poco frecuente		Cristina	Compra	No recuerdo	s/f	No	Si
165	Caja celular	Celular	Verde tropical	Casi nunca		Cristina	Compra	Éxito	2018	No	Si
166	Copitos	Aseo	Blanco	Frecuente		Ambos	Compra	Barrio	2018	No	Si
167	Polvo 	Maquillaje	Beige	Poco frecuente		Cristina	Compra	Éxito	2018	No	Si
168	Caimanes negros	Accesorios	Negro	Casi nunca		Cristina	Compra	No recuerdo	s/f	No	Si
169	Parche	Accesorios	Rojo claro	Casi nunca		Cristina	Compra	Centro	2018	No	Si
170	Labial morado	Maquillaje	Purpura	Casi nunca	Lo compré para un disfraz	Cristina	Compra	Barrio	2018	Si	Si
171	Labial fucsia	Maquillaje	Fucsia	Casi nunca		Cristina	Regalo	Compañera	s/f	No	Si
172	HIlo negro	Ropa	Negro	Casi nunca		Ambos	Compra	Barrio	2018	No	Si
173	Hilo blanco	Ropa	Blanco	Casi nunca		Ambos	Compra	Barrio	2019	No	Si
174	Pomitos para uñas	Aseo	Blanco	Poco frecuente		Cristina	Compra	Barrio	2019	No	Si
175	Esmalte morado	Maquillaje	Purpura	Casi nunca		Cristina	Compra	Barrio	2019	No	Si
